frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
116,1,28002.00,390.49,201.52,6,0.00,100.00,20.66,0.0378,Thumbs Up
117,2,25676.00,387.85,204.80,6,83.49,100.00,21.54,0.0378,Rock
118,2,26830.50,387.62,203.30,5,84.83,100.00,23.04,0.0441,Peace
119,2,25130.50,388.58,200.81,6,83.38,90.91,23.92,0.0441,Rock
120,2,24519.00,388.09,204.78,7,77.78,100.00,24.80,0.0441,Rock
121,2,26661.50,387.68,207.08,6,83.06,100.00,25.67,0.0426,Rock
122,1,24500.50,387.14,208.08,6,0.00,100.00,26.55,0.0426,Thumbs Up
123,1,24234.50,388.28,207.07,7,0.00,100.00,27.43,0.0426,Thumbs Up
124,2,24020.50,389.39,205.27,7,79.54,100.00,28.31,0.0322,Peace
125,2,24319.00,389.71,204.64,6,82.06,100.00,29.19,0.0322,Peace
126,2,24198.00,390.20,204.68,6,66.08,100.00,31.04,0.0322,Peace
127,2,24230.00,390.94,203.61,6,78.87,90.91,31.92,0.0382,Rock
128,2,24483.00,391.09,203.69,7,76.88,100.00,32.80,0.0382,Rock
129,1,24262.50,391.44,204.58,6,0.00,100.00,33.67,0.0382,Thumbs Up
130,2,24629.50,391.29,203.45,7,83.00,100.00,34.55,0.0397,Rock
131,2,24602.50,390.50,204.80,6,83.81,100.00,35.43,0.0397,Peace
132,1,24320.00,390.09,205.97,7,0.00,100.00,36.31,0.0397,Thumbs Up
133,2,24456.50,390.77,204.99,6,76.54,100.00,37.19,0.0433,Rock
134,1,24387.00,390.59,205.14,7,0.00,100.00,38.55,0.0433,Thumbs Up
135,1,24660.00,391.95,204.33,6,0.00,100.00,40.55,0.0433,Thumbs Up
136,2,24682.00,390.33,205.85,7,79.55,100.00,40.55,0.0344,Rock
137,1,24881.00,390.91,206.16,7,0.00,100.00,41.43,0.0344,Thumbs Up
138,1,25132.00,391.16,205.85,6,0.00,100.00,42.55,0.0344,Thumbs Up
139,2,26301.50,391.72,208.09,6,80.71,100.00,44.55,0.0384,Peace
140,1,27256.00,390.58,209.14,8,0.00,125.00,44.55,0.0384,Thumbs Up
141,1,24040.50,390.40,206.20,6,0.00,90.91,45.43,0.0384,Thumbs Up
142,1,24156.50,390.27,206.16,5,0.00,100.00,46.55,0.0326,Thumbs Up
143,2,25067.50,390.31,206.11,7,80.81,100.00,48.55,0.0326,Rock
144,2,25261.00,390.98,205.40,7,81.79,100.00,48.55,0.0326,Rock
145,1,25123.50,391.19,205.81,7,0.00,100.00,49.43,0.0650,Thumbs Up
146,1,25352.50,391.22,205.80,6,0.00,100.00,50.80,0.0650,Thumbs Up
147,2,24891.00,389.87,206.44,7,74.86,90.91,52.80,0.0650,Peace
148,2,25266.50,390.19,206.61,7,76.26,100.00,52.80,0.0408,Rock
149,2,25341.00,390.61,205.69,6,81.48,125.00,53.67,0.0408,Rock
150,1,25441.00,390.93,205.39,7,0.00,100.00,54.80,0.0408,Thumbs Up
151,2,25271.50,391.30,205.12,7,83.59,100.00,56.80,0.0419,Rock
152,1,25344.00,390.87,205.57,6,0.00,100.00,56.80,0.0419,Thumbs Up
153,2,25106.00,390.86,206.30,6,68.44,100.00,57.67,0.0419,Rock
154,1,24929.00,392.05,205.64,6,0.00,100.00,58.80,0.0318,Thumbs Up
155,2,24882.50,391.59,205.04,6,72.89,100.00,60.80,0.0318,Peace
156,1,25083.00,391.41,206.44,6,0.00,100.00,60.80,0.0318,Thumbs Up
157,2,24995.50,391.45,205.72,6,79.43,100.00,61.67,0.0395,Rock
